Period,EQ,Social_Search_Impressions,Social_Search_Working_cost,Digital_Impressions,Digital_Working_cost,Print_Impressions.Ads40,Print_Working_Cost.Ads50,OOH_Impressions,OOH_Working_Cost,SOS_pct,Digital_Impressions_pct,CCFOT,Median_Temp,Median_Rainfall,Fuel_Price,Inflation,Trade_Invest,Brand_Equity,Avg_EQ_Price,Any_Promo_pct_ACV,Any_Feat_pct_ACV,Any_Disp_pct_ACV,EQ_Base_Price,Est_ACV_Selling,pct_ACV,Avg_no_of_Items,pct_PromoMarketDollars_Category,RPI_Category,Magazine_Impressions_pct,TV_GRP,Competitor1_RPI,Competitor2_RPI,Competitor3_RPI,Competitor4_RPI,EQ_Category,EQ_Subcategory,pct_PromoMarketDollars_Subcategory,RPI_Subcategory
2016 - Period:1,504.7849334,2019283,5493,37148.2,2045.282,0.0000123,0.0000121,142068593,88623,7.4468829676,13,100,32.95,0.515,8.226,0.0132580645,42744.2568396034,42.41,49.09144714,9.691793869,3.87,1.688895637,1.4275324124,8696587915,39.44102455,2.611781593,0.0339,35.8170301,27.7024326275,21.3,97.17336466,35.5573706,44.5027166,63.37726834,1728388.673,331927.5394,0.1627315206,40.5605634007
2016 - Period:2,490.2264774,4564738,12938,50886.8,2370.584,0.000014,0.000015,3634206779,1853946,11.6770818195,24,87.5,34.625,0.27,7.473,0.0099384872,36290.4395568229,42.41,49.0576119,9.415937736,1.87,1.687951925,1.442716305,8682307085,38.41722445,2.522813601,0.0391,36.38906504,21.432627502,12.334,97.85075967,37.22307199,45.72007693,62.73174163,1900859.879,334611.3806,0.2316496563,40.0463007214
2016 - Period:3,479.2446856,1029384,6546,253333.2,3180.888,0.0000156,0.0000175,1571029814,3156363,0.1028581172,29,96,46.7,0.39,8.001,0.0078324805,34852.1416557006,42.41,49.3675143,5.176683634,1.87,1.83444,1.423408014,8706897549,36.49944234,2.477322366,0.0228,36.59998404,29.72627502,23.213,96.39773904,40.80056283,41.82295335,62.09041692,2036436.906,387148.3582,0.1253937639,40.4111147645
2016 - Period:4,489.0574275,902938,3928,3426239,13595.398,0.00001624,0.00001875,2130352767,230070,0.2490549959,7,100,49.65,0.35,8.767,0.0100343011,24869.5589880151,43.5435714286,50.65763421,6.088273442,2.87,2.444,1.4434011664,8660288592,38.1351586,2.520409444,0.0147,38.20185195,30.32627502,14.456,98.93651904,36.57613962,41.5784288,63.37435775,2113635.013,482489.674,0.0566034039,42.2132456126
2016 - Period:5,477.0319938,1343454,28374,552197.8,3983.134,0.000016496,0.000019375,2399295298,1472321,13.3388037239,36,100,58.1,0.5025,9.277,0.0095463441,61675.3216204097,43.79,50.62577695,7.827112399,2.87,0.170730805,1.4736868527,8644518558,38.62956375,2.497285134,0.0219,38.64880451,31.7024326275,25.3,100.5099691,36.03201621,42.60241192,63.29193408,2402211.102,629826.6484,0.0650587752,43.3455778262
2016 - Period:6,487.8552994,2434564,59483,29892.2,1800.344,1.65984E-05,1.96875E-05,3382847860,1791560,13.5622116458,0.083,78.5714285714,68.5,0.46,9.824,0.0092903226,40458.5923730029,43.79,51.26898425,9.791996605,1.633989247,1.0730805,1.4570546827,8627353001,39.09772922,2.455277266,0.0107,39.30595813,40.1586458565,47.7,99.79650503,36.99643695,44.94302167,68.41594326,2796949.72,806075.7642,0.0299124304,44.075674089
2016 - Period:7,466.3992813,2674839,128374,6021768,7591.644,1.663936E-05,1.984375E-05,4514018441,2770481,14.3923049263,62,88,73.7,0.425,9.642,0.008283871,40945.7478063969,44.0071428571,50.67633334,8.802656562,1.87,2.130805,1.4379529182,8662698543,39.01776821,2.412757113,0.00765,39.65389732,31.0398547856,43.7,101.0961852,37.31430812,43.35840904,65.42086852,2867306.933,828776.1488,0.0217884739,45.0728215198
2016 - Period:8,546.0530843,1784632,57463,1815307.2,7866.572,1.6655744E-05,1.9921875E-05,2225964092,4954814,15.3761270754,27,84.6153846154,77.35,0.555,9.148,0.0084612903,22026.5262481822,44.17,48.99297174,13.66005556,5.136756476,7.925423602,1.4538324163,8511934271,37.94002737,2.641764423,0.0302,38.322539,32.1955655319,32,94.65400559,34.01330448,41.35673961,64.47896031,2813494.081,789109.5698,0.0932870529,42.9745237583
2016 - Period:9,464.9256065,1674635,87364,153633.2,3579.13,1.66622976E-05,1.99609375E-05,45042496,3428552,22.9325339063,26,100,75.85,0.56,9.225,0.0110215054,53214.8847620726,44.17,49.30885217,9.791259803,5.154290993,3.894863652,1.4761846792,7928216512,35.69618895,2.55980947,0.0304,38.11096719,38.8155795401,16.5,96.23896326,37.37775805,40.57701559,63.26419349,2441916.655,606656.5082,0.1006998452,42.7607857145
2016 - Period:10,357.6486931,3919100.6,24839.812,30331,23205.9887058824,1.666491904E-05,1.998046875E-05,6365863,4778949,28.5294933397,11,100,71.05,0.295,9.331,0.0139655914,25343.2102544766,44.2071428571,54.13821437,6.060160312,1.87,0.14777156,1.5253891806,7765786227,32.61878034,2.664421184,0.00561,39.59574958,39.055795401,37.55,105.031551,46.59875087,44.63144345,67.04004941,2017353.844,421134.3688,0.0252705106,43.9259619699
2016 - Period:11,298.553287,25075933,99256.7634292,43728,39282,0.000016666,1.9990234375E-05,3589987613,3664356,8.2331429716,58,100,60.075,0.16,9.442,0.0149844086,53637.1921547543,44.3,54.75500778,2.732962487,3.87,0.777156,1.5399948274,7616098981,32.15925481,2.496296773,0.00208,41.02094103,40.0028155795,18.455,111.4366591,35.3278177,46.05511752,69.65789115,1930470.417,349816.2482,0.0114404427,44.5427961124
2016 - Period:12,283.7974301,9662476.8,29277.7354302,76365,56372,1.66663870464E-05,1.99951171875E-05,2772423593,910530,2.2995084179,37,100,49.35,0.095,9.18,0.0160865591,35020.0075817079,44.3,54.30927518,3.63844938,3.87,2.14777156,1.5305393696,7392126173,31.37152636,2.39209368,0.00508,39.74471047,32.8155795401,13.435,107.501689,39.4146519,44.65742941,67.53503067,1756735.667,297210.5135,0.0354891483,43.4177109131
2016 - Period:13,239.2316222,21600,2006.674,98362,72651,1.666655481856E-05,1.999755859375E-05,1790618766,171356,4.3050989581,3,100,35.5,0.38,9.462,0.0186967742,31883.3301588551,44.3,53.47189294,3.087214438,3.87,0.425449354,1.5083478645,7405621915,30.28336924,2.075661489,0.0046,39.03128569,36.195401,10.5,105.4073686,40.77367979,44.58240014,65.32483421,1628453.07,269453.0058,0.0356594207,42.7769208908
2017 - Period:1,392.3264313,1314877,7398.6586062,118374,13827,1.6666621927424E-05,1.9998779296875E-05,959570967,304181,0.2805016866,27,100,35.45,0.47,9.884,0.0225806452,657.53,44.45,50.92331138,8.566850924,5.581585079,1.449354,1.5871625184,7410277873,32.39062811,2.579820963,0.0604,36.43076918,21.15401,41.235,98.35185044,35.77300917,42.78264483,65.40328138,1696093.627,312550.9088,0.3841832156,40.6240474971
